File,Name,Artist,Charter,Year,Genre,StarRating,IntensityStars,LengthBonus,Blended,TotalNotes,FretLaneNotes,StrumCount,HopoCount,TapCount,DurationSeconds,MeanNps,MaxNps,P83,P93,P99,L5,FretMean,StrumMean,SustainMean
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 06 - Into the Aftermath\7. Between the Buried and Me - Telos (XEntombmentX)\notes.chart,Telos,Between the Buried and Me,XEntombmentX,", 2012",Progressive Metal,6.97,5.63,1.34,9.661,3451,4154,2214,1158,79,585.03,4.420,15.719,7.600,9.394,12.353,11.494,3.970,1.188,0.320
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 06 - Into the Aftermath\8. Pathfinder - Stardust (xX760Xx)\notes.chart,Stardust,Pathfinder,xX760Xx,", 2010",rock,5.62,4.51,1.11,8.035,2155,2348,1069,543,543,507.66,3.327,16.830,5.142,7.402,12.685,10.749,2.721,0.727,0.659
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 06 - Into the Aftermath\9. Pagan's Mind - Into the Aftermath (jdurandTV)\notes.chart,Into The Aftermath,Pagan's Mind,jdurandTV,", 2011",Progressive Power Metal,6.79,5.65,1.13,9.691,1589,2513,489,363,737,317.66,4.218,23.184,6.263,8.359,16.610,13.515,3.251,0.645,1.012
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 07 - Portal to Another Dimension\1. Kelly Simonz - Sign of the Times (Chemfinal)\notes.chart,Sign Of The Times,Kelly Simonz (ChemFinal),,,rock,8.44,7.21,1.23,11.872,3155,3176,130,2311,714,332.45,6.916,22.015,9.545,11.345,15.425,14.190,6.854,0.108,0.129
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 07 - Portal to Another Dimension\3. Brain Drill - Apocalyptic Feasting (LemonGH)\notes.chart,Apocalyptic Feasting,Brain Drill,LemonGH,", 2008",Technical Death Metal,13.72,12.57,1.15,18.868,2443,2609,563,846,1034,218.42,9.731,26.109,13.883,18.436,24.315,23.348,9.638,0.636,0.094
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 07 - Portal to Another Dimension\4. Children of Bodom Solo Medley Deluxe (Chemfinal)\notes.chart,,,,,rock,10.46,8.94,1.52,14.197,6352,6490,1157,2370,2825,668.84,7.339,23.351,10.832,13.970,18.155,16.937,7.215,0.612,0.145
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 07 - Portal to Another Dimension\7. Animals as Leaders - Inamorata (XEntombmentX)\notes.chart,Inamorata,Animals as Leaders,XEntombmentX,", 2009",Progressive Metal,8.39,7.09,1.30,11.705,3367,3773,2415,482,470,360.58,6.919,17.636,9.600,11.435,14.576,13.508,6.574,1.655,0.163
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 08 - Taken From Reality\01. Slayer - Angel of Death (OHM)\notes.chart,Angel Of Death,Slayer,OHM,", 1986",Trash Metal,6.68,5.51,1.16,9.491,2354,2722,1935,314,105,287.87,5.515,14.934,7.850,9.296,11.726,10.864,5.020,2.150,0.267
C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 08 - Taken From Reality\02. Rings of Saturn - Eviscerate (OHM)\notes.chart,Eviscerate,Rings Of Saturn,OHM,", 2014",Technical Death Metal,8.51,7.24,1.27,11.916,2526,3491,1285,453,788,263.69,6.398,18.006,9.870,11.898,14.069,13.436,5.312,2.082,0.079
"C:\YARG\Charts\Carpal Tunnel Hero -  Remastered\[CTH1R] 08 - Taken From Reality\03. Rhapsody of Fire - Very Rhapsody, Much Fire (BurpLeTurtle)\notes.chart","Very Rhapsody, Much Fire: Deluxe",Rhapsody of Fire,"BurpLeTurtle, GHX",", 2004",Solo Medley,12.03,10.71,1.32,16.507,3961,3961,970,2251,740,422.46,8.193,22.993,11.815,17.000,20.105,19.465,8.109,0.783,0.133
